#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
413,WormadamSandy Cloak,Bug,Ground,424,60,79,105,59,85,36,4,False
413,WormadamTrash Cloak,Bug,Steel,424,60,69,95,69,95,36,4,False
265,Wurmple,Bug,,195,45,45,35,20,30,20,3,False
360,Wynaut,Psychic,,260,95,23,48,23,48,23,3,False
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,False
716,Xerneas,Fairy,,680,126,131,95,131,98,99,6,True
562,Yamask,Ghost,,303,38,30,85,55,65,30,5,False
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,False
469,Yanmega,Bug,Flying,515,86,76,86,116,56,95,4,False
717,Yveltal,Dark,Flying,680,126,131,95,131,98,99,6,True
335,Zangoose,Normal,,458,73,115,60,60,60,90,3,False
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True
523,Zebstrika,Electric,,497,75,100,63,80,63,116,5,False
644,Zekrom,Dragon,Electric,680,100,150,120,120,100,90,5,True
263,Zigzagoon,Normal,,240,38,30,41,30,41,60,3,False
571,Zoroark,Dark,,510,60,105,60,120,60,105,5,False
570,Zorua,Dark,,330,40,65,40,80,40,65,5,False
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False
634,Zweilous,Dark,Dragon,420,72,85,70,65,70,58,5,False
718,Zygarde50% Forme,Dragon,Ground,600,108,100,121,81,95,95,6,True
