#,Name,Type 1,Type 2,Generation
681,AegislashBlade Forme,Steel,Ghost,6
681,AegislashShield Forme,Steel,Ghost,6
682,Spritzee,Fairy,,6
683,Aromatisse,Fairy,,6
684,Swirlix,Fairy,,6
685,Slurpuff,Fairy,,6
686,Inkay,Dark,Psychic,6
687,Malamar,Dark,Psychic,6
688,Binacle,Rock,Water,6
689,Barbaracle,Rock,Water,6
690,Skrelp,Poison,Water,6
691,Dragalge,Poison,Dragon,6
692,Clauncher,Water,,6
693,Clawitzer,Water,,6
694,Helioptile,Electric,Normal,6
695,Heliolisk,Electric,Normal,6
696,Tyrunt,Rock,Dragon,6
697,Tyrantrum,Rock,Dragon,6
698,Amaura,Rock,Ice,6
699,Aurorus,Rock,Ice,6
700,Sylveon,Fairy,,6
701,Hawlucha,Fighting,Flying,6
702,Dedenne,Electric,Fairy,6
703,Carbink,Rock,Fairy,6
704,Goomy,Dragon,,6
705,Sliggoo,Dragon,,6
706,Goodra,Dragon,,6
707,Klefki,Steel,Fairy,6
708,Phantump,Ghost,Grass,6
709,Trevenant,Ghost,Grass,6
710,PumpkabooAverage Size,Ghost,Grass,6
710,PumpkabooSmall Size,Ghost,Grass,6
710,PumpkabooLarge Size,Ghost,Grass,6
710,PumpkabooSuper Size,Ghost,Grass,6
711,GourgeistAverage Size,Ghost,Grass,6
711,GourgeistSmall Size,Ghost,Grass,6
711,GourgeistLarge Size,Ghost,Grass,6
711,GourgeistSuper Size,Ghost,Grass,6
712,Bergmite,Ice,,6
713,Avalugg,Ice,,6
714,Noibat,Flying,Dragon,6
715,Noivern,Flying,Dragon,6
716,Xerneas,Fairy,,6
717,Yveltal,Dark,Flying,6
718,Zygarde50% Forme,Dragon,Ground,6
719,Diancie,Rock,Fairy,6
719,DiancieMega Diancie,Rock,Fairy,6
720,HoopaHoopa Confined,Psychic,Ghost,6
720,HoopaHoopa Unbound,Psychic,Dark,6
721,Volcanion,Fire,Water,6
